geoid,Population Poverty Ratio < 1,Percent Poverty Ratio < 1
15000US060371011101,261,15.46
15000US060371011102,291,19.35
15000US060371011103,25,2.55
15000US060371011221,130,6.1
15000US060371011222,0,0
15000US060371012101,942,30.92
15000US060371012102,731,22.29
15000US060371012201,67,5.95
15000US060371012202,518,20.11
15000US060371013001,61,4.75
15000US060371013002,17,1.62
15000US060371013003,88,9.92
15000US060371013004,53,8.53
15000US060371014001,62,7.18
15000US060371014002,172,12.8
15000US060371014003,33,2.66
15000US060371021031,85,4.82
15000US060371021041,227,8.84
15000US060371021042,197,21.32
15000US060371021051,214,22.5
15000US060371021052,142,14.88
15000US060371021071,244,8.96
15000US060371021072,184,12.17
15000US060371031011,94,6.31
15000US060371031012,21,2.24
15000US060371031021,36,4.79
15000US060371031022,13,1.97
15000US060371031023,100,9.35
15000US060371031024,75,8.85
15000US060371031025,48,3.41
15000US060371032001,34,1.72
15000US060371032002,144,7.25
15000US060371032003,759,33.55
15000US060371033001,87,4.67
15000US060371033002,119,6.2
15000US060371034001,202,22.03
15000US060371034002,0,0
15000US060371034003,62,8.22
15000US060371034004,57,5.2
15000US060371034005,213,8.26
15000US060371041031,19,1.08
15000US060371041032,160,10.04
15000US060371041051,162,9.12
15000US060371041052,1188,27.78
15000US060371041081,275,11.98
15000US060371041082,369,17.02
15000US060371041083,299,19.44
15000US060371041241,264,16.17
15000US060371041242,30,2.28
15000US060371041243,28,4.03
15000US060371042011,226,15.94
15000US060371042012,345,22.82
15000US060371042013,405,25.5
15000US060371042031,712,24.4
15000US060371042032,673,27.13
15000US060371042041,327,23.73
15000US060371042042,154,8.14
15000US060371043101,139,6.8
15000US060371043102,163,11.37
15000US060371043103,357,24.32
15000US060371043201,320,11.34
15000US060371043202,409,44.8
15000US060371043203,68,6.56
15000US060371043204,0,0
15000US060371044011,182,13.73
15000US060371044012,601,31.11
15000US060371044031,301,14.88
15000US060371044032,152,11.75
15000US060371044041,336,25.36
15000US060371044042,431,24.91
15000US060371045001,260,29.75
15000US060371045002,479,22.32
15000US060371046101,306,16.5
15000US060371046102,140,9.46
15000US060371046201,121,8.29
15000US060371046202,254,12.71
15000US060371047011,461,29.95
15000US060371047012,809,41.64
15000US060371047013,161,17.75
15000US060371047031,480,39.31
15000US060371047032,221,23.19
15000US060371047041,1210,28.63
15000US060371048101,20,2.34
15000US060371048102,87,8.61
15000US060371048103,584,15.59
15000US060371048211,449,18.46
15000US060371048212,166,15.33
15000US060371048221,563,19.9
15000US060371060101,312,10.11
15000US060371060201,202,8.4
15000US060371060202,308,10.26
15000US060371061111,141,10.04
15000US060371061112,64,2.3
15000US060371061121,330,15.72
15000US060371061122,333,9.95
15000US060371061131,287,13.87
15000US060371061132,0,0
15000US060371061141,811,17.15
15000US060371061142,309,20.3
15000US060371064031,40,3.51
15000US060371064032,112,7.73
15000US060371064033,17,1.64
15000US060371064051,418,28.77
15000US060371064052,664,29.1
15000US060371064053,265,26.61
15000US060371064061,272,7.35
15000US060371064062,19,2.19
15000US060371064063,27,2.15
15000US060371064071,664,31.54
15000US060371064072,272,34.13
15000US060371064081,433,14.95
15000US060371064082,278,36.06
15000US060371065101,164,10.96
15000US060371065102,156,6.63
15000US060371065103,110,8.18
15000US060371065201,376,15.45
15000US060371065202,361,17.87
15000US060371065203,170,11.72
15000US060371066031,90,5.46
15000US060371066032,25,1.68
15000US060371066041,26,5.22
15000US060371066042,395,15.08
15000US060371066043,0,0
15000US060371066044,280,24.24
15000US060371066411,73,3.08
15000US060371066421,55,4.73
15000US060371066422,12,1.52
15000US060371066423,66,6.58
15000US060371066431,15,0.51
15000US060371066432,43,5.7
15000US060371066433,17,1.97
15000US060371066451,52,3.12
15000US060371066452,52,2.62
15000US060371066461,118,6.59
