block,Total Employment
130630402021009,270
130630402021014,1319
130630402021023,23
130630402021026,9
130630402021027,62
130630402021029,12
130630402021030,200
130630402021036,5
130630402021037,219
130630402021038,385
130630402021039,234
130630402021040,445
130630402021043,141
130630402021044,207
130630402021053,8
130630402021054,19
130630402021060,253
130630402021063,55
130630402021064,32
130630402021073,95
130630402021074,372
130630402021076,270
130630402021080,46
130630402021082,127
130630402021091,265
130630402022001,331
130630402022006,39
130630402022008,55
130630402022012,7
130630402022013,2
130630402022015,1
130630402022020,68
130630402032001,23
130630402032007,7
130630402032008,3
130630402032010,14
130630402032018,443
130630402032021,34
130630402032023,225
130630402032028,49
130630402041000,80
130630402041001,47
130630402042002,845
130630402042005,2671
130630402042006,226
130630402042008,170
130630402042011,24
130630402043000,121
130630402043018,1
130630403021000,237
130630403021007,4
130630403021014,3
130630403021016,19
130630403021021,37
130630403022000,69
130630403022012,3
130630403022016,3
130630403023007,274
130630403023009,123
130630403023023,183
130630403023027,587
130630403023030,2
130630403023032,112
130630403023033,423
130630403024006,1
130630403024012,4
130630403024014,10
130630403024015,6
130630403024016,6
130630403024018,7
130630403024021,1
130630403024023,1
130630403024026,16
130630403024027,16
130630403024028,2
130630403031000,10
130630403031013,34
130630403031017,2
130630403031018,21
130630403031019,117
130630403031020,13
130630403031021,324
130630403031022,7
130630403031028,95
130630403032008,281
130630403032009,145
130630403032012,110
130630403032013,108
130630403033004,6
130630403033007,3
130630403033017,126
130630403034002,11
130630403034007,176
130630403034008,18
130630403034009,28
130630403035001,90
130630403035002,1
130630403035003,14
130630403035004,7
130630403035005,103
130630403035011,5
130630403036000,28
130630403036001,10
130630403036002,19
130630403036003,54
130630403036008,133
130630403036011,422
130630403036012,18
130630403036013,105
130630403036014,16
130630403061000,71
130630403061001,162
130630403061002,337
130630403061008,92
130630403061009,1251
130630403061010,35
130630403061011,1198
130630403061012,243
130630403061013,5
130630403061014,66
130630403061015,101
130630403061018,170
130630403061019,178
130630403061020,233
130630403061021,199
130630403062000,97
130630403062001,18
130630403062002,3
130630403062003,13
130630403062005,2
130630403062007,6
130630403071002,2
130630403071006,2
130630403071012,16
130630403071017,3
130630403071018,5
130630403072001,5
130630403072005,3
130630403072006,2
130630403072010,11
130630403072017,1
130630403072023,121
130630403072026,3
130630403072028,1
130630403072029,2
130630403072033,2
130630403072034,44
130630403081001,427
130630403081003,54
130630403081004,295
130630403081012,9
130630403081013,14
130630403081015,754
130630403081018,29
130630403081019,29
130630403081022,14
130630403081025,3
130630403081030,60
130630403081040,315
130630403081041,306
130630403081044,6
130630403081046,1
130630403081047,30
130630403081048,13
130630403081052,3
130630403081055,156
130630403081066,405
130630403081077,64
130630403081078,2730
130630403081080,997
130630403081081,159
130630403081083,277
130630403081084,37
130630403081088,12
130630403081091,7
130630403081092,16
130630403081093,37
130630403081097,4
130630403081099,5
130630403081100,276
130630403081101,20
130630403081111,297
130630403081112,14
130630403081113,11
130630403081121,25
130630403081128,7
130630403081129,316
130630403081133,5
130630403082002,109
130630403082007,38
130630403082009,3
130630403082011,2
130630403082019,576
130630403082021,79
130630403082023,35
130630403082027,141
130630403082028,95
130630403082029,1
130630403083002,6
130630403083003,1
130630403083006,9
130630404071000,52
130630404071003,23
130630404071005,12
130630404071006,2
130630404071007,6
130630404071012,31
130630404071013,1
130630404071020,91
130630404071021,342
130630404071022,4
130630404071026,17
130630404071027,99
130630404072001,60
130630404072009,3
130630404072010,38
130630404072011,120
130630404072012,147
130630404072013,4
130630404072014,126
130630404072017,165
130630404072018,1
130630404072019,59
130630404072020,13
130630404072022,14
130630404072023,115
130630404072026,48
130630404072027,31
130630404072035,169
130630404072036,41
130630404072037,334
130630404072040,15
130630404072041,77
130630404072043,92
130630404072044,136
130630404072046,220
130630404072062,44
130630404072071,474
130630404072086,40
130630404072087,200
130630404081001,13
130630404081003,42
130630404081006,296
130630404081014,6
130630404081016,626
130630404081018,14
130630404082000,245
130630404082002,7
130630404082003,10
130630404082011,85
130630404082015,980
130630404082020,14
130630404082025,68
130630404083001,1
130630404083003,7
130630404083020,20
130630404083026,42
130630404083029,2
130630404083031,23
130630404083035,51
130630404091000,2
130630404091002,2
130630404091003,377
130630404091004,373
130630404091022,4
130630404092001,38
130630404092002,5
130630404092011,9
130630404092013,3
130630404092017,10
130630404101006,38
130630404101008,6
130630404101009,121
130630404101011,462
130630404101012,168
130630404101014,32
130630404101017,63
130630404101018,46
130630404101022,4
130630404101023,156
130630404101030,5
130630404101036,50
130630404101038,119
130630404101039,241
130630404101043,492
130630404101044,2825
130630404101048,454
130630404101051,87
130630404101060,131
130630404101061,39
130630404101063,70
130630404101064,2
130630404101069,5
130630404101071,86
130630404101073,5
130630404101080,15
130630404101085,2
130630404101092,12
130630404101097,4
130630404101102,13
130630404101104,479
130630404101106,15
130630404102000,10
130630404102026,6
130630404102042,5
