geoid,Total Population,Population Density,Area (land)
15000US060371011101,1688,9773.78,0.172706978
15000US060371011102,1614,11795.09,0.136836541
15000US060371011103,981,7457.72,0.131541536
15000US060371011221,2156,3511.879,0.613916358
15000US060371011222,1249,3069.14,0.406954395
15000US060371012101,3047,26615,0.114484314
15000US060371012102,3300,24131.82,0.136748896
15000US060371012201,1126,8778.854,0.128262756
15000US060371012202,2576,18190.82,0.141609923
15000US060371013001,1283,2407.174,0.532990114
15000US060371013002,1093,4514.614,0.242102666
15000US060371013003,887,7631.251,0.116232585
15000US060371013004,621,5915.803,0.104973073
15000US060371014001,864,9732.266,0.088776859
15000US060371014002,1354,665.2703,2.035263098
15000US060371014003,1240,3974.95,0.311953569
15000US060371021031,1763,3848.51,0.45809942
15000US060371021041,2797,9742.191,0.287101716
15000US060371021042,924,2611.291,0.353847971
15000US060371021051,951,9271.405,0.102573448
15000US060371021052,954,10906.03,0.087474537
15000US060371021071,2791,870.7979,3.205106742
15000US060371021072,1558,875.8127,1.778919053
15000US060371031011,1489,2191.608,0.679409712
15000US060371031012,939,9002.468,0.10430473
15000US060371031021,751,7301.41,0.102856847
15000US060371031022,661,7599.825,0.086975693
15000US060371031023,1069,10531.89,0.101501242
15000US060371031024,847,13456.01,0.062945851
15000US060371031025,1406,11258.38,0.124884749
15000US060371032001,1984,1246.633,1.591486524
15000US060371032002,1986,1848.868,1.074170614
15000US060371032003,2379,12018.17,0.197950338
15000US060371033001,1863,1680.998,1.108270386
15000US060371033002,1918,1518.389,1.263180756
15000US060371034001,917,6955.055,0.131846557
15000US060371034002,1069,11526.92,0.092739426
15000US060371034003,754,7466.396,0.100985796
15000US060371034004,1096,11093.24,0.098798913
15000US060371034005,2580,4767.41,0.541174322
15000US060371041031,1838,10814.91,0.169950594
15000US060371041032,1593,8106.642,0.196505544
15000US060371041051,1777,19964.73,0.089006976
15000US060371041052,4277,31278.87,0.136737699
15000US060371041081,2295,14090.54,0.162875272
15000US060371041082,2168,13274.45,0.16332122
15000US060371041083,1538,15817.51,0.097234041
15000US060371041241,1648,8296.645,0.198634511
15000US060371041242,1532,3884.778,0.394359742
15000US060371041243,695,611.3809,1.136770904
15000US060371042011,1431,8950.901,0.159872169
15000US060371042012,1550,11879.38,0.130478211
15000US060371042013,1588,12164.71,0.130541531
15000US060371042031,2960,21658.11,0.136669359
15000US060371042032,2481,18152.74,0.136673606
15000US060371042041,1758,12873.09,0.136563953
15000US060371042042,1921,2154.459,0.891639266
15000US060371043101,2061,17628.92,0.116910194
15000US060371043102,1433,5732.584,0.249974517
15000US060371043103,1468,6808.971,0.21559791
15000US060371043201,2823,18783.41,0.150292202
15000US060371043202,913,13363.28,0.068321552
15000US060371043203,1037,16194.45,0.064034274
15000US060371043204,519,2799.8,0.185370357
15000US060371044011,1332,8302.242,0.160438581
15000US060371044012,1938,18899.68,0.102541402
15000US060371044031,2047,17511.94,0.116891661
15000US060371044032,1294,8505.772,0.152131979
15000US060371044041,1325,12522.29,0.105811301
15000US060371044042,1759,17154.76,0.102537155
15000US060371045001,879,12861.63,0.068342788
15000US060371045002,2146,15701.07,0.136678626
15000US060371046101,1906,12508.34,0.152378312
15000US060371046102,1480,19410.48,0.076247458
15000US060371046201,1518,22198.77,0.06838217
15000US060371046202,2010,14703.29,0.136704108
15000US060371047011,1539,16324.12,0.094277657
15000US060371047012,1956,30707.6,0.063697592
15000US060371047013,907,16619.4,0.05457477
15000US060371047031,1221,3613.198,0.337927821
15000US060371047032,953,8377.969,0.11375072
15000US060371047041,4321,6730.992,0.64195587
15000US060371048101,853,11216.05,0.076051704
15000US060371048102,1010,6621.579,0.152531595
15000US060371048103,3768,18367.29,0.205147283
15000US060371048211,2468,18033.73,0.136854688
15000US060371048212,1083,15815.94,0.068475221
15000US060371048221,2839,12079.68,0.235022711
15000US060371060101,3093,3177.644,0.973362811
15000US060371060201,2418,6610.516,0.365780845
15000US060371060202,3002,7310.427,0.410646304
15000US060371061111,1404,2158.887,0.650335059
15000US060371061112,2787,3388.601,0.82246327
15000US060371061121,2099,10064.83,0.20854807
15000US060371061122,3512,3384.561,1.03765307
15000US060371061131,2166,5855.915,0.369882409
15000US060371061132,1531,8258.023,0.185395454
15000US060371061141,4802,17275.48,0.277966153
15000US060371061142,1522,13531.98,0.112474266
15000US060371064031,1141,11069.73,0.103073837
15000US060371064032,1480,17507.51,0.084535141
15000US060371064033,1046,4371.295,0.239288367
15000US060371064051,1480,7214.329,0.205147283
